school_id,school_name,school_conference,conference_id,sets_played,match_win,match_loss,ttl_ace,ace_set,ttl_assist,assist_set,ttl_soloblock,ttl_blockassist,block_set,ttl_dig,dig_set,ttl_attkill,ttl_atterror,ttl_attack,attack_percentage,attack_set,attkill_set,win_percentage,ttl_oppkill,ttl_oppatterror,ttl_oppattack,oppattack_percentage
t076,Drury,GLVC,G,106,14,13,154,1.45,1162,10.96,61,348,2.22,1976,18.64,1295,587,4008,0.177,37.81,12.22,0.518518519,1321,585,4221,0.174
t117,Ill. Springfield,GLVC,G,105,18,10,195,1.86,1202,11.45,58,275,1.86,1721,16.39,1328,508,3904,0.21,37.18,12.65,0.642857143,1366,560,3984,0.202
t133,Lewis,GLVC,G,129,23,11,195,1.51,1552,12.03,74,505,2.53,2460,19.07,1706,643,5138,0.207,39.83,13.22,0.676470588,1653,756,5344,0.168
t144,Maryville (MO),GLVC,G,106,17,11,172,1.62,1234,11.64,49,299,1.87,2010,18.96,1331,519,4144,0.196,39.09,12.56,0.607142857,1310,571,4201,0.176
t145,McKendree,GLVC,G,101,11,16,163,1.61,1158,11.47,26,302,1.75,1866,18.48,1220,544,3880,0.174,38.42,12.08,0.407407407,1276,528,3957,0.189
t156,Missouri S&T,GLVC,G,100,9,18,118,1.18,1048,10.48,50,336,2.18,1663,16.63,1140,508,3851,0.164,38.51,11.4,0.333333333,1383,577,3970,0.203
t159,Mo.-St. Louis,GLVC,G,106,19,9,183,1.73,1404,13.25,66,210,1.61,1804,17.02,1482,577,4057,0.223,38.27,13.98,0.678571429,1291,523,3895,0.197
t191,Quincy,GLVC,G,118,25,6,208,1.76,1583,13.42,87,264,1.86,1860,15.76,1697,601,4358,0.251,36.93,14.38,0.806451613,1354,540,4096,0.199
t194,Rockhurst,GLVC,G,113,21,8,207,1.83,1430,12.65,50,364,2.05,1968,17.42,1526,555,4318,0.225,38.21,13.5,0.724137931,1268,614,4210,0.155
t221,Southwest Baptist,GLVC,G,119,14,16,169,1.42,1448,12.17,46,421,2.16,2035,17.1,1547,703,4695,0.18,39.45,13,0.466666667,1506,653,4555,0.187
t238,Truman St.,GLVC,G,115,6,22,170,1.48,1173,10.2,49,348,1.94,1833,15.94,1291,587,4256,0.165,37.01,11.23,0.214285714,1466,633,4377,0.19
t243,UIndy,GLVC,G,112,19,11,151,1.35,1353,12.08,61,349,2.1,1889,16.87,1439,582,4203,0.204,37.53,12.85,0.633333333,1422,654,4325,0.178
t246,Upper Iowa,GLVC,G,103,10,17,181,1.76,1178,11.44,36,248,1.55,1498,14.54,1251,559,3637,0.19,35.31,12.15,0.37037037,1264,510,3507,0.215
t273,William Jewell,GLVC,G,101,7,22,126,1.25,1089,10.78,39,279,1.77,1530,15.15,1180,584,3648,0.163,36.12,11.68,0.24137931,1381,471,3642,0.25
