school_id,school_name,school_conference,sets_played,match_win,match_loss,ttl_ace,ace_set,ttl_assist,assist_set,ttl_soloblock,ttl_blockassist,block_set,ttl_dig,dig_set,ttl_attkill,ttl_atterror,ttl_attack,attack_percentage,attack_set,attkill_set,win_percentage,ttl_oppkill,ttl_oppatterror,ttl_oppattack,oppattack_percentage
t001,Academy of Art,PacWest,101,6,22,153,1.51,1060,10.5,51,250,1.74,1448,14.34,1151,649,3657,0.137,36.21,11.4,0.214285714,1286,527,3544,0.214
t002,Adams St.,RMAC,101,11,16,97,0.96,1192,11.8,69,260,1.97,1593,15.77,1279,605,3833,0.176,37.95,12.66,0.407407407,1213,597,3730,0.165
t003,Adelphi,NE10,119,23,10,241,2.03,1468,12.34,52,305,1.72,1796,15.09,1589,621,4018,0.241,33.76,13.35,0.696969697,1218,597,3890,0.16
t004,Alas. Anchorage,GNAC,101,16,12,194,1.92,1120,11.09,31,354,2.06,1659,16.43,1214,478,3612,0.204,35.76,12.02,0.571428571,1219,553,3638,0.183
t005,Alas. Fairbanks,GNAC,110,21,7,199,1.81,1364,12.4,26,491,2.47,1728,15.71,1452,536,3921,0.234,35.65,13.2,0.75,1302,574,3894,0.187
t006,Albany St. (GA),SIAC,109,19,10,182,1.67,1212,11.12,64,312,2.02,1596,14.64,1333,649,3864,0.177,35.45,12.23,0.655172414,1194,662,3782,0.141
t007,Allen,SIAC,98,7,19,134,1.37,910,9.29,90,127,1.57,1430,14.59,1000,536,3415,0.136,34.85,10.2,0.269230769,1223,562,3518,0.188
t008,American Int'l,NE10,100,21,7,218,2.18,1180,11.8,53,328,2.17,1652,16.52,1265,473,3593,0.22,35.93,12.65,0.75,1065,549,3555,0.145
t009,Anderson (SC),South Atlantic,119,19,11,186,1.56,1475,12.39,63,276,1.69,1872,15.73,1570,702,4305,0.202,36.18,13.19,0.633333333,1277,624,4076,0.16
t010,Angelo St.,Lone Star,125,32,3,187,1.5,1705,13.64,40,428,2.03,2162,17.3,1810,630,4838,0.244,38.7,14.48,0.914285714,1519,685,4724,0.177
t011,Ark.-Fort Smith,Lone Star,108,14,14,175,1.62,1284,11.89,71,394,2.48,2011,18.62,1409,545,4127,0.209,38.21,13.05,0.5,1424,647,4366,0.178
t012,Ark.-Monticello,Great American,97,4,22,132,1.36,961,9.91,69,172,1.6,1579,16.28,1027,579,3550,0.126,36.6,10.59,0.153846154,1277,463,3602,0.226
t013,Arkansas Tech,Great American,109,13,17,184,1.69,1242,11.39,50,273,1.71,1707,15.66,1369,596,3912,0.198,35.89,12.56,0.433333333,1282,534,3854,0.194
t014,Ashland,G-MAC,109,19,11,178,1.63,1287,11.81,67,301,2,1724,15.82,1416,558,4005,0.214,36.74,12.99,0.633333333,1315,590,3909,0.185
t015,Assumption,NE10,94,8,17,183,1.95,900,9.57,39,194,1.45,1369,14.56,946,467,3169,0.151,33.71,10.06,0.32,1169,454,3217,0.222
t016,Augusta,Peach Belt,108,21,8,185,1.71,1258,11.65,42,502,2.71,1926,17.83,1374,618,4155,0.182,38.47,12.72,0.724137931,1139,670,4111,0.114
t017,Augustana (SD),NSIC,109,13,15,197,1.81,1265,11.61,69,387,2.41,1757,16.12,1349,561,3922,0.201,35.98,12.38,0.464285714,1355,609,4026,0.185
t018,AUM,Gulf South,112,10,19,205,1.83,1117,9.97,53,227,1.49,1436,12.82,1214,592,3611,0.172,32.24,10.84,0.344827586,1390,544,3631,0.233
t019,Azusa Pacific,PacWest,102,15,12,152,1.49,1195,11.72,80,262,2.07,1603,15.72,1276,426,3729,0.228,36.56,12.51,0.555555556,1388,592,3896,0.204
t020,Barry,Sunshine State,98,24,5,218,2.22,1193,12.17,81,370,2.71,1392,14.2,1319,397,3136,0.294,32,13.46,0.827586207,1016,558,3235,0.142
t021,Barton,Conference Carolinas,104,8,19,137,1.32,1052,10.12,99,114,1.5,1610,15.48,1160,581,3643,0.159,35.03,11.15,0.296296296,1271,534,3697,0.199
t022,Belmont Abbey,Conference Carolinas,104,7,21,176,1.69,1028,9.88,49,218,1.52,1397,13.43,1108,617,3617,0.136,34.78,10.65,0.25,1280,516,3549,0.215
t023,Bemidji St.,NSIC,100,8,18,143,1.43,986,9.86,66,214,1.73,1478,14.78,1115,576,3459,0.156,34.59,11.15,0.307692308,1264,470,3509,0.226
t024,Benedict,SIAC,89,17,9,184,2.07,978,10.99,97,118,1.75,1311,14.73,1057,520,2931,0.183,32.93,11.88,0.653846154,955,544,3046,0.135
